mal
Nototriche pusilla
Triumfetta grandiflora
Bombax ceiba
Pterygota brasiliensis
Pseudobombax longiflorum
Peltaea riedelii
Hibiscus urticifolium
Malachra radiata
Pavonia lanata
Peltaea lasiantha
Sida caudata
Monteiroa reitzii
Helicteres macropetala
Monteiroa bullata
Cola acuminata
Ceiba erianthos
Pavonia psilophylla
Abutilon grandiflorum
Pavonia garckeana
Pavonia laetevirens
Hibiscus diversifolius
Sterculia foetida
Helicteres laciniosa
Pavonia blanchetiana
Pavonia distinguenda
Monteiroa glomerata
Monteiroa catharinensis
Pavonia dusenii
Gossypium arboreum
Malachra helodes
Pavonia varians
Pavonia humifusa
Ayenia erecta
Pseudobombax parvifolium
Ceiba glaziovii
Corchorus olitorius
Pseudobombax marginatum
Sida jussiaeana
Gaya pilosa
Eriotheca crenulaticalyx
Pachira retusa
Phragmotheca mammosa
Matisia bullata
Matisia valdes-bermejoi
Matisia castano
Sterculia aerisperma
Theobroma nemorale
Hydrogaster trinervis
Pavonia spinistipula
Abutilon hybridum
Pavonia pseudotyphalaea
Phragmotheca amazonica
Matisia bicolor
Quararibea wittii
Melochia splendens
Urena procumbens
Sida dureana
Pentaplaris davidsmithii
Luehea splendens
Guazuma invira
Pavonia cracens
Hibiscus capitalensis
Sterculia striata
Byttneria schunkei
Ayenia peregrina
Sterculia killipiana
Byttneria obliqua
Byttneria hirsuta
Byttneria benensis
Byttneria parviflora
Sterculia venezuelensis
Ayenia jussieui
Ayenia magna
Ayenia incallida
Byttneria mollis
Byttneria urosepala
Byttneria corylifolia
Waltheria glomerata
Byttneria acalyphifolia
Sterculia corrugata
Sida jussieuana
Sida oblonga
Monteiroa dusenii
Byttneria cordata
Vasivaea alchorneoides
Callianthe sellowiana
Sida ulmifolia
Sida salviaefolia
Sida cearensis
Melochia cornata
Pavonia semiserrata
Pachira amazonica
Wissadula glechomatifolia
Sida tuberculata
Sida uchoae
Pavonia zehntneri
Pseudabutilon aristulosum
Gaya scopulorum
Patinoa paraensis
Sida aurantiaca
Pachira fuscolepidota
Catostemma ebracteolatum
Pachira morae
Theobroma gileri
Hibiscus paludicola
Ceiba lupuna
Pavonia alnifolia
Waltheria ackermanniana
Lueheopsis hoehnei
Callianthe vexillaria
Abutilon bicolor
Corynabutilon vitifolium
Tilia tomentosa
Tilia americana
Palaua modesta
Cristaria viridiluteola
Nototriche estipulata
Palaua dissecta
Cristaria aspera
Pavonia grandiflora
Pterygota amazonica
Durio zibethinus
Theobroma angustifolium
Matisia giacomettoi
Durio kutejensis
Cola nitida
Matisia soegengii
Acaulimalva nubigena
Pachira faroensis
Triumfetta calycina
Mollia williamsii
Tarasa urbaniana
Nototriche longirostris
Pavonia grazielae
Septotheca tessmannii
Fuertesimalva leptocalyx
Ceiba pubiflora
Hibiscus acetosella
Pavonia montana
Ceiba rubriflora
Melochia anomala
Lecanophora ecristata
Malvastrum interruptum
Wissadula gymnanthemum
Modiolastrum gilliesii
Tarasa albertii
Sphaeralcea cordobensis
Firmiana simplex
Sida variegata
Wissadula densiflora
Pavonia aurigloba
Sphaeralcea brevipes
Tarasa trisecta
Pavonia glechomoides
Tarasa capitata
Sphaeralcea laciniata
Malva trimestris
Ceiba chodatii
Pavonia hieronymi
Tarasa antofagastana
Sphaeralcea chenopodifolia
Malvella leprosa
Cienfuegosia sulphurea
Brachychiton populneus
Nototriche caesia
Pavonia revoluta
Sphaeralcea miniata
Sida dubia
Nototriche kurtzii
Lecanophora ameghinoi
Tarasa tenella
Pavonia cymbalaria
Luehea steinbachii
Nototriche niederleinii
Pseudobombax argentinum
Wissadula tucumanensis
Wissadula glechomifolia
Fuertesimalva pentandra
Ayenia odonellii
Melochia canescens
Tilia platyphyllos
Pseudabutilon callimorphum
Ayenia lingulata
Ayenia cordobensis
Pavonia betonicaefolia
Sida esperanzae
Nototriche famatinensis
Nototriche hieronymi
Malvastrum uniapiculatum
Sphaeralcea australis
Hibiscus indicus
Wissadula paraguariensis
Sphaeralcea mendocina
Malvastrum amblyphyllum
Malvastrum multicuspidatum
Lecanophora chubutensis
Ayenia aprica
Cienfuegosia ulmifolia
Gaya gracilipes
Ayenia praecipua
Sphaeralcea philippiana
Sida paradoxa
Nototriche copon
Sphaeralcea crispa
Cienfuegosia argentina
Fuertesimalva pentacocca
Malvastrum coromandelinum
Cienfuegosia sulfurea
Melochia hassleriana
Pavonia eurychlamys
Melochia hermannioides
Wissadula decora
Pavonia cryptica
Nototriche pulvilla
Gaya tarijensis
Wissadula wissadifolia
Nototriche sleumeri
Nototriche anthemidifolia
Pavonia glutinosa
Pavonia orientalis
Sida cabreriana
Tarasa meyeri
Pavonia friesii
Ceiba crispiflora
Andeimalva peruviana
Tarasa humilis
Cavanillesia umbellata
Monteiroa ptarmicifolia
Pavonia xanthogloea
Byttneria ancistrodonta
Matisia victoriana
Matisia cuatrecasana
Wissadula fadyenii
Abutilon giganteum
Pseudabutilon umbellatum
Quararibea cryptantha
Matisia uberrima
Sida abutifolia
Gaya hermannioides
Hibiscus sebastianii
Matisia spathacea
Matisia anchicayana
Pavonia dasypetala
Quararibea ruiziana
Pavonia sepioides
Ayenia stipularis
Bastardiopsis myrianthus
Pavonia subhastata
Theobroma hylaeum
Callianthe cyclonervosa
Eriotheca loretensis
Nototriche holoserica
Ayenia klugii
Melochia ministella
Byttneria implacabilis
Pavonia hexaphylla
Byttneria gracilipes
Waltheria carpinifolia
Pavonia aschersonioides
Mollia grandiflora
Byttneria pescapraeifolia
Waltheria carmensarae
Calyculogygas serrana
Sida riedelii
Pavonia horrida
Monteiroa smithii
Modiolastrum pinnatipartitum
Pavonia reticulata
Sida potentilloides
Sida regnellii
Pachira squamigera
Pachira patinoi
Byttneria ovata
Pachira rupicola
Quararibea casasecae
Ceiba trischistandra
Eriotheca roseorum
Nototriche jamesonii
Matisia oblongifolia
Matisia longipes
Matisia huallagensis
Sterculia pendula
Matisia dolichopoda
Gyranthera amphibiolepis
Eriotheca discolor
Dombeya wallichii
Helicteres vallsii
Matisia lozanoi
Herrania laciniifolia
Hampea albipetala
Callianthe petiolaris
Sida aggregata
Hampea punctulata
Hampea appendiculata
Hibiscus grandiflorus
Kosteletzkya depressa
Pachira nukakica
Matisia arteagensis
Herrania dugandii
Pachira sordida
Byttneria sagittifolia
Byttneria scalpellata
Eriotheca candolleana
Byttneria elliptica
Callianthe bezerrae
Sidastrum quinquenervium
Gaya guerkeana
Pachira paraensis
Byttneria oblongata
Waltheria biribiriensis
Eriotheca bahiensis
Byttneria petiolata
Callianthe mouraei
Pavonia kleinii
Helicteres aspera
Pseudobombax minimum
Lueheopsis burretiana
Pavonia krapovickasii
Waltheria maritima
Catostemma cavalcantei
Pavonia calyculosa
Pavonia aschersoniana
Helicteres lenta
Peltaea macedoi
Pavonia almasana
Pachira duckei
Sida urosepala
Pavonia makoyana
Malachra heptaphylla
Waltheria coriacea
Gaya aurea
Pseudobombax amapaense
Pavonia prionophylla
Modiolastrum palustre
Phragmocarpidium heringeri
Pavonia ramboi
Ayenia glabrescens
Byttneria melastomifolia
Hibiscus matogrossensis
Pavonia immitis
Byttneria jaculifolia
Hibiscus wilsonii
Herissantia nemoralis
Herrania mariae
Hibiscus pohlii
Sterculia speciosa
Waltheria flavovirens
Pavonia repens
Dombeya mollis
Pavonia calycina
Firmiana pallens
Byttneria glazioui
Peltaea nudicaulis
Pavonia rudis
Pachira tocantina
Melochia morongii
Luehea conwentzii
Sterculia parviflora
Pachira rurrenabaqueana
Pavonia angustipetala
Pavonia pohlii
Pavonia piauhyensis
Gaya grandiflora
Sida vallsii
Hibiscus henningsianus
Pavonia ducke-limae
Luehea tomentella
Malva arborea
Luehea crispa
Hibiscus malacophyllus
Ceiba boliviana
Abutilon peltatum
Pavonia paraensis
Monteiroa hatschbachii
Pavonia strictiflora
Waltheria involucrata
Apeiba trombetensis
Sterculia antioquia
Theobroma bernoullii
Bakeridesia purpurascens
Pseudobombax campestre
Pavonia peruviana
Abutilon hirsutum
Pavonia paucidentata
Malvastrum ionthacarpum
Sterculia duckei
Callianthe rufivela
Pavonia stellata
Helicteres pilgeri
Ayenia hirta
Triumfetta sampaioi
Pavonia opulifolia
Quararibea spatulata
Pavonia geminiflora
Gaya monosperma
Byttneria pedersenii
Hibiscus peterianus
Rhynchosida kearneyi
Pavonia stipularis
Eriotheca dolichopoda
Pavonia serrana
Malvaviscus palmatus
Sida goyazensis
Melochia kerriifolia
Byttneria irwinii
Byttneria lasiophylla
Pavonia erythrolema
Wissadula subpeltata
Wissadula indivisa
Sida bakeriana
Sida lilianae
Byttneria affinis
Pavonia ionthacarpa
Pachira trinitensis
Waltheria petiolata
Pavonia morii
Abutilon minarum
Triumfetta obscura
Pavonia neei
Krapovickasia urticifolia
Eriotheca longipedicellata
Hibiscus andersonii
Sida andersonii
Dombeya acutangula
Nototriche ecuadoriensis
Sida adscendens
Pavonia cauliflora
Pachira orinocensis
Theobroma canumanense
Sida cristobaliana
Sida calva
Hibiscus flagelliformis
Pavonia apiculata
Ayenia latifolia
Pavonia goetheoides
Pseudabutilon benense
Byttneria palustris
Sida honoriana
Hibiscus nanuzae
Pavonia hatschbachii
Sida boliviana
Abutilon indicum
Quararibea penduliflora
Matisia inaequilatera
Abelmoschus manihot
Eriotheca parvifolia
Pavonia ciliata
Cienfuegosia lanceolata
Pavonia subrotunda
Helicteres denticulenta
Pavonia secreta
Phragmotheca ecuadorensis
Pavonia flavispina
Sida hatschbachii
Pentaplaris huaoranica
Pavonia restiaria
Triumfetta longicoma
Byttneria ramosissima
Phragmotheca fuchsii
Pavonia laxifolia
Byttneria melastomaefolia
Sida sampaiana
Briquetia brasiliensis
Hibiscus kitaibelifolius
Scleronema spruceana
Melochia longidentata
Melochia gardneri
Pseudobombax maximum
Callianthe lanata
Eriotheca obcordata
Luehea herzogiana
Gaya macrantha
Peltaea heringeri
Pachira aracamuniana
Byttneria cristobaliana
Pavonia belophylla
Corchorus capsularis
Ayenia blanchetiana
Gaya dentata
Pavonia hoehnei
Luehea rufescens
Pavonia renifolia
Abutilon inaequilaterum
Hibiscus dimidiatus
Pavonia longifolia
Callianthe longifolia
Callianthe latipetala
Dombeya cayeuxii
Abutilon dispermum
Scleronema guianense
Matisia pacifica
Sterculia amazonica
Pavonia immaculata
Hibiscus laxiflorus
Sida lonchitis
Acaulimalva rhizantha
Callianthe pickelii
Peltaea parviflora
Briquetia denudata
Peltaea surumuensis
Pavonia rosengurttii
Sida rufescens
Sterculia propinqua
Byttneria attenuatifolia
Pavonia mattogrossensis
Pavonia hirticalyx
Microcos tomentosa
Sida centuriata
Waltheria ladewii
Sida hassleri
Pachira obovata
Helicteres vuarame
Pavonia longipedunculata
Malvastrum spiciflorum
Sida leitaofilho
Melochia illicioides
Sterculia multiovula
Waltheria regnellii
Matisia tessmannii
Bastardiopsis grewiifolia
Hibiscus conceptionis
Catostemma marahuacense
Matisia stenopetala
Byttneria beyrichiana
Hibiscus hochreutineri
Hibiscus chapadensis
Callianthe darwinii
Phragmotheca flaviflora
Sida rhizomatosa
Gaya meridionalis
Wissadula cruziana
Melochia manducata
Wissadula boliviana
Pavonia insperabilis
Tarasa geranioides
Gaya albiflora
Pavonia platyloba
Apeiba intermedia
Pavonia crassipedicellata
Waltheria paniculata
Callianthe schenckii
Wissadula grandifolia
Sida petropolitana
Sida surumuensis
Malachra capitata
Byttneria stenophylla
Pavonia formosa
Matisia samariensis
Phragmotheca siderosa
Hibiscus radiatus
Pavonia mutisii
Bakeridesia integerrima
Matisia uribei
Matisia sanblasensis
Quararibea tulekunae
Quararibea pterocalyx
Pavonia rhizophorae
Malva assurgentiflora
Acaulimalva acaulis
Phragmotheca rubriflora
Spirotheca codazziana
Pavonia kearneyi
Herrania pulcherrima
Matisia dowdingii
Bastardiopsis jaramilloi
Pavonia rosea
Sida harleyi
Pachira mutisiana
Sida simpsonii
Dombeya tiliacea
Pavonia aspera
Hampea platanifolia
Matisia hirta
Sida jussieana
Helicteres carthagenensis
Pseudobombax crassipes
Callianthe inaequalis
Matisia cruceto
Matisia amplifolia
Phragmotheca mambitana
Quararibea foenigraeca
Spirotheca michaeli
Quararibea ciroana
Quararibea cogolloi
Herrania balaensis
Malvaviscus elegans
Sida weberbaueri
Sterculia acuminataloba
Sterculia platanoides
Sterculia patagonica
Malvacarpus octoloculus
Bombacacidites annae
Bombacacidites isoreticulatus
Malvaciphyllum macondicus
Sterculia washburnii
Bombacacidites psilatus
Bombacacidites simplireticulatus
Bombacacidites brevis
Bombacacidites nacimientoensis
Bombacacidites soleaformis
Bombacacidites grahamii
Bombacacidites foveoreticulatus
Bombacacidites gonzalezii
Bombacacidites fossureticulatus
Bacutriporites echinatus
Bombacacidites protofoveoreticulatus
Pavonia sidaefolia
Triumfetta setulosa
Tilia vulgaris
Thespesia lampas
Phymosia abutiloides
Byttneria aristeguietae
Sida ascendens
Dendrosida cuatrecasasii
Waltheria microphylla
Batesimalva killipii
Abutilon montanum
Sida collina
Theobroma chocoense
Triumfetta caudata
Corchorus tridens
Waltheria aspera
Waltheria berteroi
Abutilon herzogianum
Ayenia pusilla
Hibiscus commixtus
Andeimalva machupicchensis
Pavonia rupestris
Cienfuegosia heterophylla
Palaua weberbaueri
Hydrogaster trinerve
Luehea fiebrigii
Gyranthera caribensis
Triumfetta guaranitica
Gaya endacantha
Abutilon pyramidale
Palaua trisepala
Triumfetta oligacantha
Sida glutinosa
Byttneria obtusata
Pavonia imatacensis
Sida emilei
Gaya cruziana
Sida pseudopotentilloides
Uladendron codesurii
Pseudabutilon cinereum
Pavonia alba
Pachira tepuiensis
Byttneria sparrei
Abutilon cuspidatum
Theobroma sinuosum
Cristaria multifida
Byttneria jaramilloana
Entelea arborescens
Byttneria loxensis
Modiolastrum lateritum
Nototriche compacta
Pavonia pterocarpa
Hibiscus cucurbitaceus
Catostemma marahuacensis
Quararibea magnifica
Pachira subandina
Nototriche argentea
Gaya weberbaueri
Palaua sandemanii
Abutilon burandtii
Sida rubifolia
Matisia palenquiana
Berrya cordifolia
Palaua malvaefolia
Sida ferrucciana
Quararibea cacao
Calyculogygas uruguayensis
Patinoa ichthyotoxica
Dirhamphis balansae
Wissadula peredoi
Luehea microcarpa
Byttneria fontis
Pseudobombax andicola
Cienfuegosia angustifolia
Pseudobombax pulchellum
Pseudabutilon leucothrix
Eriotheca sclerophylla
Pavonia windischii
Quararibea bilobata
Ayenia boliviana
Ayenia spinulosa
Sida confusa
Matisia alata
Pseudabutilon nigropunctulatum
Eriotheca squamigera
Nototriche longissima
Byttneria lopez-mirandae
Acaulimalva alismatifolia
Sida palmata
Byttneria weberbaueri
Matisia racemifera
Byttneria tucumanensis
Hibiscus furcellatoides
Melochia goldbergii
Callianthe ulbrichii
Sida javensis
Sida cuspidata
Pavonia vannii
Pseudobombax cajamarcanus
Acaulimalva pazensis
Herissantia intermedia
Wissadula setifera
Byttneria oranensis
Wissadula microcarpa
Tetrasida chachapoyensis
Sida yungasensis
Pavonia patuliloba
Ayenia krapovickasii
Ayenia acalyphifolia
Callianthe andrade-limae
Nototriche nigrescens
Ayenia aliculata
Cristaria argyliifolia
Waltheria vernonioides
Palaua tomentosa
Sterculia steyermarkii
Nototriche foetida
Nototriche pellicea
Tarasa thyrsoidea
Tarasa congestiflora
Tarasa rhombifolia
Fuertesimalva chilensis
Pachira pseudofaroensis
Ayenia acuminata
Sida rupicola
Nototriche pearcei
Wissadula stellata
Pavonia falconensis
Sida schumanniana
Hibiscus syriacus
Sida haenkeana
Sida hirsutissima
Cristaria ovata
