taxonid,scientific_name,kingdom,phylum,class,order,family,genus,main_common_name,authority,published_year,assessment_date,category,criteria,population_trend,marine_system,freshwater_system,terrestrial_system,assessor,reviewer,aoo_km2,eoo_km2,elevation_upper,elevation_lower,depth_upper,depth_lower,errata_flag,errata_reason,amended_flag,amended_reason
46208,Byttneria obtusata,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Byttneria,NA,Benth.,2004,2004-04-30,EN,B2ab(iii),NA,FALSE,FALSE,TRUE,"Santiana, J. & Pitman, N.","Valencia, R., Pitman, N., Léon-Yánez, S. & Jørgensen, P.M. (Ecuador Plants Red List Authority)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46209,Byttneria sparrei,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Byttneria,NA,Cristóbal,2004,2004-04-30,VU,D2,NA,FALSE,FALSE,TRUE,"Santiana, J. & Pitman, N.","Valencia, R., Pitman, N., Léon-Yánez, S. & Jørgensen, P.M. (Ecuador Plants Red List Authority)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117764447,Theobroma sinuosum,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Theobroma,NA,Pav. ex Huber,2020,2018-07-17,LC,NA,Unknown,FALSE,FALSE,TRUE,"Madrinan, S. & Mendoza F., J.M.","Cox, N.A.",NA,NA,970,120,NA,NA,NA,NA,NA,NA
46205,Byttneria jaramilloana,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Byttneria,NA,Dorr,2004,2004-04-30,VU,D2,NA,FALSE,FALSE,TRUE,"Santiana, J. & Pitman, N.","Valencia, R., Pitman, N., Léon-Yánez, S. & Jørgensen, P.M. (Ecuador Plants Red List Authority)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46206,Byttneria loxensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Byttneria,NA,Cristóbal,2004,2004-04-30,EN,B2ab(iii),NA,FALSE,FALSE,TRUE,"Santiana, J. & Pitman, N.","Valencia, R., Pitman, N., Léon-Yánez, S. & Jørgensen, P.M. (Ecuador Plants Red List Authority)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149242086,Quararibea magnifica,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Quararibea,Magua,Pittier,2020,2020-02-28,DD,NA,Decreasing,FALSE,FALSE,TRUE,"Gámez, L.E.","García Rawlins, A.",NA,NA,2000,800,NA,NA,NA,NA,NA,NA
43200,Matisia palenquiana,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Matisia,NA,(A.Robyns) W.S.Alverson,2003,2003-04-30,EN,A4c,Decreasing,FALSE,FALSE,TRUE,"Santiana, J. & Pitman, N.","Valencia, R., Pitman, N., Léon-Yánez, S. & Jørgensen, P.M. (Ecuador Plants Red List Authority)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164915343,Quararibea cacao,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Quararibea,Cacao Simarron,(Triana &amp; Planch.) Baill.,2020,2020-01-31,CR,B2ab(iii),Decreasing,FALSE,FALSE,TRUE,"Lopez-Gallego, C. & Morales M, P.","Beech, E.",4,NA,500,100,NA,NA,NA,NA,NA,NA
128227285,Byttneria fontis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Byttneria,NA,Cristóbal,2020,2019-07-04,EN,B1ab(iii)+2ab(iii),Decreasing,FALSE,FALSE,TRUE,"Biggs, N.","Wood, J., Villarroel, D., Martinez Ugarteche, M.T. & Parada, A.",8,49,451,257,NA,NA,NA,NA,NA,NA
128237454,Cienfuegosia angustifolia,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Cienfuegosia,NA,Krapov.,2020,2019-01-10,CR,B1ab(iii)+2ab(iii),Unknown,FALSE,FALSE,TRUE,"Biggs, N.","Mendoza F., J.M., Martinez Ugarteche, M.T., Wood, J. & Soto, D.",8,8,259,255,NA,NA,NA,NA,NA,NA
43197,Matisia alata,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Matisia,NA,Little,2003,2003-04-30,EN,A4c,Decreasing,FALSE,FALSE,TRUE,"Santiana, J. & Pitman, N.","Valencia, R., Pitman, N., Léon-Yánez, S. & Jørgensen, P.M. (Ecuador Plants Red List Authority)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153328654,Matisia racemifera,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Matisia,NA,Fern.Alonso,2020,2019-02-28,LC,NA,Unknown,FALSE,FALSE,TRUE,"Lopez-Gallego, C. & Morales M, P.","Beech, E.",28,2265,300,0,NA,NA,NA,NA,NA,NA
71774892,Gossypium raimondii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Gossypium,NA,Ulbr.,2020,2018-07-19,EN,"B1ab(iii,iv,v)",Unknown,FALSE,FALSE,TRUE,"Gonzales Arce, P.","Cox, N.A.",NA,2200,1000,300,NA,NA,NA,NA,NA,NA
45629,Wissadula divergens,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Wissadula,NA,(Benth.) Benth. &amp; Hook.,2004,2004-04-30,EN,A4c,NA,FALSE,FALSE,TRUE,"Montúfar, R. & Pitman, N.","Valencia, R., Pitman, N., Léon-Yánez, S. & Jørgensen, P.M. (Ecuador Plants Red List Authority)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43201,Pseudobombax guayasense,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Pseudobombax,Ceibo,A.Robyns,2003,2003-04-30,DD,NA,Unknown,FALSE,FALSE,TRUE,"Santiana, J. & Pitman, N.","Valencia, R., Pitman, N., Léon-Yánez, S. & Jørgensen, P.M. (Ecuador Plants Red List Authority)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164915451,Wercklea magnibracteata,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Wercklea,NA,Fryxell,2020,2020-01-31,LC,NA,Stable,FALSE,FALSE,TRUE,"Lopez-Gallego, C. & Morales M, P.","Beech, E.",4,4,500,400,NA,NA,NA,NA,NA,NA
128237696,Peltaea chiquitana,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Peltaea,NA,Krapov. &amp; Cristóbal,2020,2019-07-18,EN,B1ab(iii)+2ab(iii),Decreasing,FALSE,FALSE,TRUE,"Biggs, N.","Martinez Ugarteche, M.T., Wood, J., Villarroel, D. & Soto, D.",16,438,680,450,NA,NA,NA,NA,NA,NA
46203,Byttneria asplundii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Byttneria,NA,Cristóbal,2004,2004-04-30,EN,A4c,NA,FALSE,FALSE,TRUE,"Santiana, J. & Pitman, N.","Valencia, R., Pitman, N., Léon-Yánez, S. & Jørgensen, P.M. (Ecuador Plants Red List Authority)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45627,Wercklea intermedia,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Wercklea,NA,Fryxell,2004,2004-04-30,VU,B1ab(iii),NA,FALSE,FALSE,TRUE,"Montúfar, R. & Pitman, N.","Valencia, R., Pitman, N., Léon-Yánez, S. & Jørgensen, P.M. (Ecuador Plants Red List Authority)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45624,Hibiscus escobariae,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Hibiscus,NA,Fryxell,2004,2004-04-30,NT,NA,NA,FALSE,FALSE,TRUE,"Montúfar, R. & Pitman, N.","Valencia, R., Pitman, N., Léon-Yánez, S. & Jørgensen, P.M. (Ecuador Plants Red List Authority)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133316816,Nototriche aretioides,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Nototriche,NA,A.W. Hill,2019,2018-11-21,NT,NA,Unknown,FALSE,FALSE,TRUE,"Trinidad Patricio, H., Castillo Ramon, S. & Timaná de la Flor, M.","Pazmino, M.",NA,20730,5100,4000,NA,NA,NA,NA,NA,NA
133317995,Nototriche tovari,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Nototriche,NA,Krapov.,2019,2018-11-21,EN,B1ab(iii),Unknown,FALSE,FALSE,TRUE,"Trinidad Patricio, H.","Pazmino, M.",NA,1900,4600,4100,NA,NA,NA,NA,NA,NA
128237750,Pseudabutilon glomeratum,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Pseudabutilon,NA,Fryxell,2020,2019-07-18,DD,NA,Unknown,FALSE,FALSE,TRUE,"Biggs, N.","Wood, J., Martinez Ugarteche, M.T. & Villarroel, D.",8-24,0-217729,450,250,NA,NA,NA,NA,NA,NA
63906339,Abutilon depauperatum,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Abutilon,Abrojo,(Hook.f.) Andersson,2014,2005-12-31,LC,NA,Stable,FALSE,FALSE,TRUE,"Tye, A. & Callebaut, J.","Hilton-Taylor, C. & Sayer, C.",NA,NA,750,1,NA,NA,NA,NA,NA,NA
136092546,Quararibea stenophylla,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Quararibea,NA,Pittier,2018,2018-06-12,LC,NA,Stable,FALSE,FALSE,TRUE,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Zamora, N.A.",208,149245.74,NA,NA,NA,NA,NA,NA,NA,NA
151949805,Mortoniodendron anisophyllum,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Mortoniodendron,NA,(Standl.) Standl. &amp; Steyerm.,2019,2018-06-12,LC,NA,Stable,FALSE,FALSE,TRUE,"Condit, R.","Beech, E.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153314359,Pachira dugandeana,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Pachira,Lano Blanco,(A.Robyns) Fern.Alonso,2020,2019-02-28,LC,NA,Unknown,FALSE,FALSE,TRUE,"Lopez-Gallego, C. & Morales M, P.","Beech, E.",32,14814,1000,0,NA,NA,NA,NA,NA,NA
131363016,Acaulimalva steinbachii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Acaulimalva,NA,Krapov.,2020,2018-11-19,EN,B1ab(iii),Unknown,FALSE,FALSE,TRUE,"Meneses, R., Mercado Ustariz, J. & Beck, S.","Gonzales Arce, P. & Tognelli, M.F.",NA,2542,4000,3500,NA,NA,NA,NA,NA,NA
30572,Gyranthera darienensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Gyranthera,Cucarrón,Pitt.,1998,1998-01-01,EN,C2a,NA,FALSE,FALSE,TRUE,"Mitré, M.",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46207,Byttneria minytricha,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Byttneria,NA,Cristóbal,2004,2004-04-30,CR,B1ab(iii),NA,FALSE,FALSE,TRUE,"Santiana, J. & Pitman, N.","Valencia, R., Pitman, N., Léon-Yánez, S. & Jørgensen, P.M. (Ecuador Plants Red List Authority)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136095837,Pachira sessilis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Pachira,NA,Benth.,2018,2018-06-12,LC,NA,Stable,FALSE,FALSE,TRUE,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Zamora, N.A.",324,112464.56,NA,NA,NA,NA,NA,NA,NA,NA
164912981,Matisia gentryi,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Matisia,Zapote de Monte Bravo,Fern.Alonso,2020,2020-03-01,LC,NA,Stable,FALSE,FALSE,TRUE,"Lopez-Gallego, C. & Morales M, P.","Beech, E.",8,NA,300,0,NA,NA,NA,NA,NA,NA
151960588,Sterculia recordiana,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Sterculia,NA,Standl.,2019,2018-06-12,LC,NA,Stable,FALSE,FALSE,TRUE,"Condit, R.","Beech, E.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128237126,Pavonia chiquitensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Pavonia,NA,J.R.I.Wood,2020,2019-02-14,CR,D,Decreasing,FALSE,FALSE,TRUE,"Biggs, N.","Villarroel, D., Ledezma, R., Coimbra, J., Parada, A. & Mendoza F., J.M.",8,8,696,518,NA,NA,NA,NA,NA,NA
132871655,Nototriche auricoma,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Nototriche,NA,(Phil.) A.W.Hill,2020,2018-11-20,LC,NA,Unknown,FALSE,FALSE,TRUE,"Meneses, R., Mercado Ustariz, J., Fuentes Claros, A. & Beck, S.","Gonzales Arce, P. & Tognelli, M.F.",NA,40000,5000,4000,NA,NA,NA,NA,NA,NA
132871839,Nototriche lanata,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Nototriche,NA,A.W.Hill,2020,2018-11-21,EN,B1ab(iii),Unknown,FALSE,FALSE,TRUE,"Meneses, R., Fuentes Claros, A., Mercado Ustariz, J. & Beck, S.","Gonzales Arce, P. & Tognelli, M.F.",NA,2509,4500,4000,NA,NA,NA,NA,NA,NA
149242121,Quararibea obovalifolia,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Quararibea,Mampuesto,Pittier,2020,2020-02-28,DD,NA,Decreasing,FALSE,FALSE,TRUE,"Avendaño, N., Espinoza Flores, Y., Fernández, A., Gallardo, A., García, M., Gonto, R., Hokche, O. & Limonggi, T.","García Rawlins, A.",NA,NA,650,350,NA,NA,NA,NA,NA,NA
65363569,Gossypium klotzschianum,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Gossypium,Galapagos Cotton,Andersson,2019,2018-09-12,NT,NA,Stable,FALSE,FALSE,TRUE,"Rowe, J. & Tye, A.","Magos Brehm, J. & Tognelli, M.F.",36,1198.40,300,0,NA,NA,NA,NA,NA,NA
